"","Country","City","AQI Value","AQI Category","lat","lng"
"1","Russian Federation","Praskoveya",51,"Moderate",44.7444,44.2031
"2","Brazil","Presidente Dutra",41,"Good",-5.29,-44.49
"3","Brazil","Presidente Dutra",41,"Good",-11.2958,-41.9869
"4","Italy","Priolo Gargallo",66,"Moderate",37.1667,15.1833
"5","Poland","Przasnysz",34,"Good",53.0167,20.8833
"6","United States of America","Punta Gorda",54,"Moderate",16.1005,-88.8074
"7","United States of America","Punta Gorda",54,"Moderate",26.8941,-82.0513
"8","Belgium","Puurs",64,"Moderate",51.0761,4.2803
"9","Russian Federation","Pyatigorsk",54,"Moderate",44.05,43.0667
"10","China","Qinzhou",68,"Moderate",21.95,108.6167
"11","Netherlands","Raalte",41,"Good",52.3833,6.2667
"12","France","Raismes",59,"Moderate",50.3892,3.4858
"13","Italy","Ramacca",55,"Moderate",37.3833,14.7
"14","United States of America","Phoenix",72,"Moderate",33.5722,-112.0892
"15","Poland","Piaseczno",28,"Good",52.0667,21.0167
"16","Brazil","Pinheiral",154,"Unhealthy",-22.5128,-44.0008
"17","Colombia","Plato",67,"Moderate",9.7919,-74.7872
"18","Romania","Poiana Mare",62,"Moderate",43.9333,23.0833
"19","Russian Federation","Polevskoy",31,"Good",56.45,60.1833
"20","France","Pontarlier",56,"Moderate",46.9061,6.3547
"21","United States of America","Pontiac",77,"Moderate",42.6493,-83.2878
"22","United States of America","Pontiac",77,"Moderate",40.8894,-88.6409
"23","Indonesia","Pontianak",44,"Good",-0.0206,109.3414
"24","Brazil","Porecatu",30,"Good",-22.7558,-51.3789
"25","Finland","Pori",30,"Good",61.4833,21.8
"26","South Africa","Port Elizabeth",79,"Moderate",-33.9581,25.6
"27","United States of America","Port Neches",34,"Good",29.9765,-93.9459
"28","United Kingdom of Great Britain and Northern Ireland","Port Talbot",51,"Moderate",51.5906,-3.7986
"29","United States of America","Portales",77,"Moderate",34.1754,-103.3565
"30","United States of America","Post Falls",61,"Moderate",47.7213,-116.9384
"31","Brazil","Pouso Alegre",32,"Good",-22.2281,-45.9336
"32","Russian Federation","Dalnegorsk",29,"Good",44.55,135.5833
"33","India","Darbhanga",247,"Very Unhealthy",26.17,85.9
"34","United States of America","Dayton",45,"Good",39.7805,-84.2003
"35","United States of America","Dayton",45,"Good",39.2592,-119.5653
"36","United States of America","Dayton",45,"Good",30.0315,-94.9158
"37","Belgium","Deinze",36,"Good",50.9833,3.5333
"38","Haiti","Delmas",124,"Unhealthy for Sensitive Groups",18.55,-72.3
"39","United States of America","Deming",72,"Moderate",32.2631,-107.7525
"40","United Kingdom of Great Britain and Northern Ireland","Denton",55,"Moderate",33.2175,-97.1418
"41","United Kingdom of Great Britain and Northern Ireland","Denton",55,"Moderate",53.4554,-2.1122
"42","United States of America","Destin",31,"Good",30.395,-86.4701
"43","India","Dharmapuri",60,"Moderate",12.127,78.158
"44","Philippines","Dipolog",30,"Good",8.5872,123.3408
"45","Latvia","Dobele",44,"Good",56.6167,23.2667
"46","United States of America","Grandville",47,"Good",42.9004,-85.7564
"47","Netherlands","Grave",37,"Good",51.7667,5.7333
"48","United States of America","Green Valley",44,"Good",31.8393,-111.0009
"49","United States of America","Green Valley",44,"Good",39.3414,-77.24
"50","United States of America","Greendale",58,"Moderate",42.9371,-88.0018
"51","Colombia","Guamo",89,"Moderate",4.0833,-74.9167
"52","Italy","Guardiagrele",52,"Moderate",42.2,14.2167
"53","United Kingdom of Great Britain and Northern Ireland","Guildford",51,"Moderate",51.2365,-0.5703
"54","Russian Federation","Gukovo",38,"Good",48.05,39.9167
"55","United States of America","Hazelwood",88,"Moderate",38.7931,-90.3899
"56","Germany","Heddesheim",54,"Moderate",49.5053,8.6033
"57","Germany","Heiligenhaus",44,"Good",51.3167,6.9667
"58","United Kingdom of Great Britain and Northern Ireland","Hemel Hempstead",51,"Moderate",51.7526,-0.4692
"59","United States of America","Hicksville",67,"Moderate",40.7637,-73.5245
"60","Germany","Haiger",49,"Good",50.7422,8.2039
"61","China","Hangzhou",203,"Very Unhealthy",30.25,120.1675
"62","Germany","Harrislee",35,"Good",54.7972,9.3764
"63","United States of America","Harrison",90,"Moderate",40.7431,-74.1531
"64","United States of America","Harrison",90,"Moderate",41.0236,-73.7193
"65","United States of America","Harrison",90,"Moderate",36.2438,-93.1198
"66","United States of America","Harrison",90,"Moderate",39.2584,-84.7868
"67","United States of America","Harrison",90,"Moderate",44.1935,-88.2941
"68","United States of America","Harrison",90,"Moderate",40.6374,-79.7173
"69","Germany","Hasbergen",36,"Good",52.2167,7.9167
"70","France","Haubourdin",48,"Good",50.6092,2.9869
"71","United States of America","Taunton",41,"Good",51.019,-3.1
"72","United States of America","Taunton",41,"Good",41.9036,-71.0943
"73","New Zealand","Tauranga",19,"Good",-37.6833,176.1667
"74","Italy","Teano",47,"Good",41.25,14.0667
"75","India","Tekkali",155,"Unhealthy",18.6057,84.2355
"76","Brazil","Teodoro Sampaio",46,"Good",-22.5328,-52.1678
"77","Mexico","Tequila",64,"Moderate",20.8794,-103.8356
"78","Italy","Teramo",44,"Good",42.6589,13.7039
"79","China","Tianjin",142,"Unhealthy for Sensitive Groups",39.1467,117.2056
"80","Philippines","Toboso",54,"Moderate",10.7167,123.5167
"81","Japan","Tokorozawa",60,"Moderate",35.7996,139.4686
"82","Mexico","Toluca",166,"Unhealthy",19.2925,-99.6569
"83","Brazil","Itapissuma",27,"Good",-7.7764,-34.8919
"84","Brazil","Itarantim",23,"Good",-15.66,-40.0658
"85","Brazil","Itumbiara",31,"Good",-18.4167,-49.2167
"86","El Salvador","Izalco",90,"Moderate",13.7333,-89.6667
"87","Russian Federation","Izberbash",51,"Moderate",42.5633,47.8636
"88","India","Jabalpur",170,"Unhealthy",23.1667,79.9333
"89","Brazil","Jaguaquara",22,"Good",-13.5308,-39.9708
"90","Poland","Jarocin",47,"Good",51.9667,17.5
"91","Philippines","Jasaan",59,"Moderate",8.65,124.75
"92","Nigeria","Ilobu",133,"Unhealthy for Sensitive Groups",7.84,4.486
"93","Finland","Imatra",29,"Good",61.1833,28.7667
"94","Brazil","Indaial",73,"Moderate",-26.8978,-49.2319
"95","Philippines","Indang",50,"Good",14.2,120.8833
"96","Brazil","Itagi",25,"Good",-14.1628,-40.0058
"97","Nigeria","Iseyin",90,"Moderate",7.9667,3.6
"98","Mexico","Isla",81,"Moderate",18.0292,-95.5264
"99","Brazil","Itaitinga",29,"Good",-3.9689,-38.5278
"100","Brazil","Itapemirim",44,"Good",-21.0108,-40.8339
"101","South Sudan","Torit",65,"Moderate",4.4081,32.575
"102","United States of America","Trenton",53,"Moderate",40.2237,-74.7641
"103","United States of America","Trenton",53,"Moderate",42.1394,-83.1929
"104","United States of America","Trenton",53,"Moderate",39.4792,-84.462
"105","United States of America","Trujillo Alto",56,"Moderate",18.3599,-66.0096
"106","Ireland","Tullamore",57,"Moderate",53.2667,-7.5
"107","Turkey","Tunceli",62,"Moderate",39.1064,39.5472
"108","United States of America","Two Rivers",49,"Good",44.1565,-87.5824
"109","Russian Federation","Tyukalinsk",34,"Good",55.8667,72.2
"110","India","Umaria",163,"Unhealthy",23.5247,80.8372
"111","United States of America","Willowbrook",126,"Unhealthy for Sensitive Groups",33.9209,-118.2356
"112","United States of America","Willowbrook",126,"Unhealthy for Sensitive Groups",41.7641,-87.9454
"113","United States of America","Wilmette",63,"Moderate",42.0771,-87.7282
"114","United States of America","Wolf Trap",53,"Moderate",38.9395,-77.2842
"115","United States of America","Woodhaven",86,"Moderate",42.132,-83.2374
"116","China","Xushan",112,"Unhealthy for Sensitive Groups",30.1697,121.2665
"117","China","Yancheng",155,"Unhealthy",33.3936,120.1339
"118","Democratic Republic of the Congo","Yangambi",121,"Unhealthy for Sensitive Groups",0.7675,24.4414
"119","China","Yanji",69,"Moderate",42.9044,129.5067
"120","United States of America","Yankton",47,"Good",42.8901,-97.3927
"121","Germany","Wenden",69,"Moderate",50.9667,7.8667
"122","Belgium","Wetteren",64,"Moderate",51,3.8833
"123","Canada","Whitehorse",20,"Good",60.7029,-135.0691
"124","Ireland","Wicklow",38,"Good",52.9779,-6.033
"125","Switzerland","Wil",59,"Moderate",47.4667,9.05
"126","Germany","Wildeshausen",67,"Moderate",52.9,8.4333
"127","United States of America","Williamsport",75,"Moderate",41.2399,-77.037
"128","United States of America","Fox Lake",60,"Moderate",42.4239,-88.1844
"129","Denmark","Frederikssund",36,"Good",55.8333,12.0666
"130","United States of America","Friendly",41,"Good",38.7601,-76.9642
"131","Germany","Fuldatal",44,"Good",51.3484,9.5256
"132","Japan","Furano",29,"Good",43.342,142.3832
"133","China","Fuzhou",168,"Unhealthy",27.9814,116.3577
"134","China","Fuzhou",168,"Unhealthy",26.0769,119.2917
"135","United Kingdom of Great Britain and Northern Ireland","Galashiels",25,"Good",55.6194,-2.8033
"136","Germany","Gangelt",41,"Good",50.9831,6
"137","Germany","Garbsen",36,"Good",52.4183,9.5981
"138","Cameroon","Garoua",59,"Moderate",9.3,13.4
"139","Netherlands","Geertruidenberg",35,"Good",51.7,4.8586
"140","Australia","Geraldton",29,"Good",-28.7744,114.6089
"141","Germany","Germersheim",51,"Moderate",49.2167,8.3667
"142","Colombia","Girardot",103,"Unhealthy for Sensitive Groups",4.305,-74.8017
"143","United Kingdom of Great Britain and Northern Ireland","Golborne",35,"Good",53.4758,-2.5943
"144","Portugal","Gondomar",27,"Good",41.15,-8.5333
"145","Portugal","Gondomar",27,"Good",42.1111,-8.7611
"146","India","Govindgarh",307,"Hazardous",24.3785,81.2964
"147","United States of America","Hoffman Estates",61,"Moderate",42.064,-88.1468
"148","United States of America","Holly Springs",42,"Good",35.6526,-78.8399
"149","United States of America","Holly Springs",42,"Good",34.1681,-84.4847
"150","Germany","Holzminden",42,"Good",51.8297,9.4483
"151","Ethiopia","Huruta",102,"Unhealthy for Sensitive Groups",8.15,39.35
"152","Italy","Iglesias",64,"Moderate",39.3167,8.5333
"153","Japan","Iizuka",45,"Good",33.65,130.6833
"154","Japan","Suzu",69,"Moderate",37.4363,137.2605
"155","Hungary","Szeged",50,"Good",46.255,20.145
"156","Iran (Islamic Republic of)","Tafresh",125,"Unhealthy for Sensitive Groups",34.6919,50.0131
"157","Philippines","Tagaytay",41,"Good",14.1,120.9333
"158","Japan","Tajimi",52,"Moderate",35.3328,137.1316
"159","Japan","Takahagi",47,"Good",36.7192,140.7167
"160","Japan","Takahashi",36,"Good",34.7914,133.6164
"161","Philippines","Talacogon",37,"Good",8.4488,125.7869
"162","Russian Federation","Taldom",46,"Good",56.7333,37.5333
"163","United States of America","Tamiami",64,"Moderate",25.7556,-80.4016
"164","Israel","Tamra",92,"Moderate",32.8536,35.1978
"165","Philippines","Tantangan",35,"Good",6.6167,124.75
"166","Indonesia","Tarogong",88,"Moderate",-7.215,107.8856
"167","Turkey","Tatvan",45,"Good",38.5022,42.2814
"168","United Kingdom of Great Britain and Northern Ireland","Yeovil",58,"Moderate",50.9452,-2.637
"169","China","Yuanping",143,"Unhealthy for Sensitive Groups",38.7299,112.7134
"170","China","Yuncheng",187,"Unhealthy",35.0304,110.998
"171","Belgium","Zaventem",58,"Moderate",50.8833,4.4667
"172","Belgium","Zemst",65,"Moderate",50.9722,4.4222
"173","China","Zhaozhou",73,"Moderate",37.7527,114.7775
"174","China","Zhongshan",98,"Moderate",22.5333,113.35
"175","China","Zhongshan",98,"Moderate",34.943,105.8771
"176","China","Zhuji",156,"Unhealthy",29.7169,120.2314
"177","Mexico","Zinacantepec",163,"Unhealthy",19.2833,-99.7333
"178","Russian Federation","Zmeinogorsk",35,"Good",51.1667,82.2
