show_id;type;title;director;country;date_added;release_year;rating;duration;listed_in
s5235;Movie;Rodney Carrington: Here Comes the Truth;Brandon Jones;united states;10/3/2017;2017;TV-MA;66 min;Stand-Up Comedy
s6811;TV Show;Frozen Planet;Alastair Fothergill;United Kingdom;1/28/2016;2011;TV-PG;1 Season;British TV Shows, Docuseries, International TV Shows
s6457;TV Show;Cheers;;united states;7/1/2017;1992;TV-PG;11 Seasons;Classic & Cult TV, TV Comedies
s4180;tv show;Memory Love;;pakistan;1/18/2019;2017;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Dramas
s6811;TV Show;Frozen Planet;Alastair Fothergill;United Kingdom;1/28/2016;2011;TV-PG;1 Season;British TV Shows, Docuseries, International TV Shows
s1341;movie;Little Big Women;Joseph Hsu;Taiwan;2/5/2021;2020;TV-14;123 min;Dramas, International Movies
s4581;Movie;Kurbaan;Renzil D'Silva;india;10/1/2018;2009;TV-14;147 min;International Movies, Thrillers
s25;movie;Jeans;S. Shankar;India;9/21/2021;1998;TV-14;166 min;Comedies, International Movies, Romantic Movies
s1592;movie;Captain Underpants Mega Blissmas;Erik Kling, Kevin Peaty;United States;12/4/2020;2020;TV-Y7;46 min;Children & Family Movies, Comedies
s8100;Movie;Straight Up;James Sweeney;united states;6/26/2020;2020;TV-MA;96 min;Comedies, Independent Movies, LGBTQ Movies
s8081;Movie;Standoff;Adam Alleca;Canada;12/11/2018;2015;R;86 min;Action & Adventure
s2026;movie;PhotoCopy;Vijay Maurya;India;9/10/2020;2016;TV-14;138 min;Comedies, Dramas, International Movies
s3230;Movie;Super Monsters Save Christmas;Steve Ball;united states;11/26/2019;2019;TV-Y;24 min;Children & Family Movies
s4472;Movie;Been So Long;Tinge Krishnan;;10/26/2018;2018;TV-MA;100 min;Dramas, International Movies, Music & Musicals
s6490;Movi;City of Tiny Lights;Pete Travis;United Kingdom;7/21/2017;2016;TV-MA;110 min;Dramas, International Movies, Thrillers
