"","ID","Magnitude","Magnitude Type"
"1","USP00000JC","5.6","MB"
"2","USP0000CJX","6.4","MB"
"3","USP00028R7","5.7","MB"
"4","USP0002EJJ","5.7","MB"
"5","USP000H6Z1","6.2","MWC"
"6","CI3329931","5.62","ML"
"7","CI3342128","5.63","ML"
"8","CI3342181","5.52","ML"
"9","CI3326197","5.82","ML"
"10","CI3325031","5.54","ML"
"11","CI3319623","5.64","ML"
"12","USP00002TP","6.3","MB"
"13","USP00003DP","6.8","MB"
"14","USP00003K1","6","MB"
"15","USP00003YA","6.9","MB"
"16","USP00004HT","6","MB"
"17","USP00006K2","5.9","MB"
"18","USP00007MB","5.5","MB"
"19","USP00007UG","6.4","MB"
"20","USP00008EC","5.5","MB"
"21","USP00008N6","6.7","MB"
"22","USP000098Z","5.6","MB"
"23","USP00009Z5","5.7","MB"
"24","USP0000ATJ","5.6","MB"
"25","USP0000BCB","5.5","MB"
"26","CI12328563","5.52","ML"
"27","USP0000D69","6.7","MB"
"28","USP0000D7G","6.5","MB"
"29","CI3006257","5.67","ML"
"30","USP0000DB0","5.8","MB"
"31","USP0000E1W","5.8","MB"
"32","CI3001652","5.84","ML"
"33","CI3002022","5.81","ML"
"34","CI3002345","5.84","ML"
"35","CI3002390","5.52","ML"
"36","USP0000H6A","5.8","MB"
"37","USP0000HKZ","5.9","MB"
"38","USP0000J2P","5.8","MB"
"39","USP0000JP2","5.8","MB"
"40","USP0000KEJ","5.9","MB"
"41","USP0000KNJ","5.9","MB"
"42","USP0000N05","5.9","MB"
"43","USP0000P2N","5.6","MB"
"44","USP0000QEM","5.7","MB"
"45","USP0000QGV","5.9","MB"
"46","USP0000R98","5.5","MB"
"47","USP0000R99","5.6","MB"
"48","USP0000RQY","6","MB"
"49","USP0000RVE","5.9","MB"
"50","USP0000TQX","5.5","MB"
"51","USP0000UZK","5.9","MB"
"52","USP0000VEH","5.8","MB"
"53","USP0000VU1","5.7","MB"
"54","USP0000VZT","5.6","MB"
"55","USP0000W02","5.9","MB"
"56","USP0000W8W","5.9","MB"
"57","USP0000WJA","6","MB"
"58","USP0000WRQ","5.6","MB"
"59","USP0000X17","5.8","MB"
"60","USP0000X1A","5.5","MB"
"61","USP0000X8R","5.6","MB"
"62","USP0000XNU","6","MB"
"63","USP0000XQ2","5.9","MB"
"64","USP0000XZ3","6","MB"
"65","USP0000YFE","6","MB"
"66","USP00011G5","6.3","MB"
"67","USP00011RB","5.8","MB"
"68","USP00011UW","5.6","MB"
"69","USP0001226","6","MB"
"70","USP000127H","6.1","MB"
"71","USP00012GE","6.1","MB"
"72","USP000133A","5.7","MB"
"73","USP00013JP","5.8","MB"
"74","USP00013P9","5.8","MB"
"75","USP00013RA","6","MB"
"76","USP00014A5","6","MB"
"77","USP00014NN","6.1","MB"
"78","USP0001660","5.7","MB"
"79","USP00016VG","5.5","MB"
"80","USP00017CC","5.5","MB"
"81","USP000185C","5.6","MB"
"82","USP0001898","5.5","MB"
"83","USP00018HQ","5.7","MB"
"84","USP00018ZB","5.9","MB"
"85","USP00019TD","6.2","MB"
"86","USP0001A6R","5.8","MB"
"87","USP0001A76","5.9","MB"
"88","USP0001B53","5.6","MB"
"89","USP0001B98","5.9","MB"
"90","USP0001BG0","5.9","MB"
"91","USP0001CXK","5.6","MB"
"92","USP0001D9R","5.9","MB"
"93","USP0001DV0","5.5","MB"
"94","USP0001FUT","6","MB"
"95","USP0001G7U","5.9","MB"
"96","USP0001GHN","6","MB"
"97","USP0001H6D","5.6","MB"
"98","USP0001HPJ","6.2","MB"
"99","USP0001KX8","6.1","MB"
"100","USP0001N8V","6.1","MB"
"101","USP0001NNQ","5.6","MB"
"102","USP0001Q5H","5.6","MB"
"103","USP0001R99","6.1","MB"
"104","USP0001RRC","5.7","MB"
"105","USP0001UK6","5.6","MB"
"106","USP0001VMS","5.9","MB"
"107","USP0001W19","6.1","MB"
"108","USP0001XRY","5.9","MB"
"109","USP0001YNM","5.8","MB"
"110","USP0001YU0","6","MB"
"111","USP0001YU6","5.5","MB"
"112","USP0001Z9K","6.1","MB"
"113","USP0001ZY6","5.5","MB"
"114","USP00020TM","5.5","MB"
"115","USP0002239","5.8","MB"
"116","USP00022FV","5.7","MB"
"117","USP000232V","5.9","MB"
"118","USP00023JZ","5.7","MB"
"119","USP00023VS","5.9","MB"
"120","USP00024AT","5.7","MB"
"121","USP00024MV","6","MB"
"122","USP00025QV","6.2","MB"
"123","USP00028G1","5.9","MB"
"124","USP00028J4","6.2","MB"
"125","USP00029PZ","5.8","MB"
"126","USP00029UB","5.6","MB"
"127","USP0002A3E","6.1","MB"
"128","USP0002AFT","6","MB"
"129","USP0002BS3","5.9","MB"
"130","USP0002E4N","5.9","MB"
"131","USP0002FV4","6","MB"
"132","USP0002G9B","6","MB"
"133","USP0002GXG","5.9","MB"
"134","USP0002N8E","5.8","MB"
"135","USP0002UM2","5.7","MB"
"136","USP000337F","5.5","MB"
"137","USP00033VD","6.2","MB"
"138","USP000347P","6","MB"
"139","USP00034RX","5.6","MB"
"140","USP000354Z","5.6","MB"
"141","USP00035HR","6.2","MB"
"142","USP00035XC","6.1","MB"
"143","USP00036Q1","5.8","MB"
"144","USP0003756","5.9","MB"
"145","USP0003759","5.8","MB"
"146","USP00039HN","5.5","MB"
"147","USP00039WR","5.7","MB"
"148","USP0003A4Q","6","MB"
"149","USP0003A93","5.9","MB"
"150","USP0003B88","6.1","MB"
"151","USP0003BKH","6.1","MB"
"152","USP0003CZN","6.1","MB"
"153","USP0003EM3","6.1","MB"
"154","USP0003FMX","6.1","MB"
"155","USP0003FRV","5.6","MB"
"156","USP0003FVP","5.5","MB"
"157","USP0003GCS","5.6","MB"
"158","USP0003KYJ","6.1","MB"
"159","USP0003PD7","5.5","MB"
"160","USP0003PGM","5.9","MB"
"161","USP0003PX5","5.9","MB"
"162","USP0003R3E","6.1","MB"
"163","USP0003RTT","5.9","MB"
"164","USP0003V5A","5.6","MB"
"165","USP0003W5C","5.5","MB"
"166","USP0003X3F","5.6","MB"
"167","USP00040YN","6","MB"
"168","USP00042GB","5.6","MB"
"169","USP0004B1A","5.5","MB"
"170","USP0004DFG","6.2","MB"
"171","USP0004G3Y","5.7","MB"
"172","USP0004GXS","5.5","MB"
"173","USP0004S8A","5.5","MB"
"174","USP00057T0","6.5","MB"
"175","USP00061GE","5.9","MB"
"176","USP0006E1A","5.8","MB"
"177","USP0006KQC","6","MB"
"178","USP0006XCY","6.1","MB"
"179","USP00071XV","6","MB"
"180","USP0007J9V","5.9","MB"
"181","ISCGEM860706","6","MW"
"182","ISCGEM860737","5.8","MW"
"183","ISCGEM860762","6.2","MW"
"184","ISCGEM860856","5.8","MW"
"185","ISCGEM860890","5.8","MW"
"186","ISCGEM860922","6.7","MW"
"187","ISCGEM861007","5.9","MW"
"188","ISCGEM861111","6","MW"
"189","ISCGEMSUP861125","6","MW"
"190","ISCGEM861148","5.8","MW"
"191","ISCGEM861155","5.9","MW"
"192","ISCGEM861299","8.2","MW"
"193","ISCGEM861461","5.5","MW"
"194","ISCGEM859136","5.6","MW"
"195","ISCGEM859164","6","MW"
"196","ISCGEM859200","6.1","MW"
"197","OFFICIAL19650204050122_30","8.7","MW"
"198","ISCGEMSUP859215","6","MW"
"199","ISCGEM859221","5.7","MW"
"200","ISCGEM859222","5.8","MW"
"201","ISCGEMSUP859230","5.9","MW"
"202","ISCGEM859231","5.9","MW"
"203","ISCGEM859233","5.7","MW"
"204","ISCGEMSUP859241","5.7","MW"
"205","ISCGEM859252","5.7","MW"
"206","ISCGEM859261","5.6","MW"
"207","ISCGEM859264","7.3","MW"
"208","ISCGEM859324","6.5","MW"
"209","ISCGEM859333","5.6","MW"
"210","ISCGEM859358","6.4","MW"
"211","ISCGEM859376","5.8","MW"
"212","ISCGEM859400","5.8","MW"
"213","ISCGEM859419","5.8","MW"
"214","ISCGEM859449","5.7","MW"
"215","ISCGEM859516","5.7","MW"
"216","ISCGEM859539","6.3","MW"
"217","ISCGEM859570","5.7","MW"
"218","ISCGEM859611","6","MW"
"219","ISCGEM859620","5.6","MW"
"220","ISCGEM859637","6.4","MW"
"221","ISCGEM859650","6.2","MW"
"222","ISCGEM859669","5.6","MW"
"223","ISCGEM859693","5.7","MW"
"224","ISCGEM859699","5.7","MW"
"225","ISCGEM859712","6.3","MW"
"226","ISCGEM859718","5.8","MW"
"227","ISCGEM859754","5.7","MW"
"228","ISCGEM859764","5.7","MW"
"229","ISCGEM859786","5.8","MW"
"230","ISCGEM859882","5.9","MW"
"231","ISCGEM859915","5.6","MW"
"232","ISCGEM859942","6","MW"
"233","ISCGEM860051","5.8","MW"
"234","ISCGEM860189","5.8","MW"
"235","ISCGEMSUP860207","5.9","MW"
"236","ISCGEM860246","5.7","MW"
"237","ISCGEM860280","5.7","MW"
"238","ISCGEM860296","5.6","MW"
"239","ISCGEM860307","5.6","MW"
"240","ISCGEM860339","5.9","MW"
"241","ISCGEM860340","5.8","MW"
"242","ISCGEM860442","5.8","MW"
"243","ISCGEM860516","7","MW"
"244","ISCGEM860551","6.2","MW"
"245","ISCGEM860552","6.2","MW"
"246","ISCGEM860605","5.6","MW"
"247","ISCGEM860614","6","MW"
"248","ISCGEM858179","5.9","MW"
"249","ISCGEM858182","5.7","MW"
"250","ISCGEM858184","5.5","MW"
"251","ISCGEM858191","5.6","MW"
"252","ISCGEM858198","5.7","MW"
"253","ISCGEM858202","5.6","MW"
"254","ISCGEM858256","5.8","MW"
"255","ISCGEM858295","5.6","MW"
"256","ISCGEM858296","6.7","MW"
"257","ISCGEM858298","6.3","MW"
"258","ISCGEM858312","5.7","MW"
"259","ISCGEM858343","5.5","MW"
"260","ISCGEM858354","5.6","MW"
"261","ISCGEM858356","5.8","MW"
"262","ISCGEM858362","5.6","MW"
"263","ISCGEM858385","5.6","MW"
"264","ISCGEM858396","5.8","MW"
"265","ISCGEM858401","6","MW"
"266","ISCGEM858461","6.1","MW"
"267","ISCGEM858558","5.7","MW"
"268","ISCGEM858598","7.4","MW"
"269","ISCGEM858608","5.8","MW"
"270","ISCGEM858655","6.4","MW"
"271","ISCGEM858677","6","MW"
"272","ISCGEM858689","6.3","MW"
"273","ISCGEM858693","5.7","MW"
"274","ISCGEM858722","6","MW"
"275","ISCGEM858755","6.3","MW"
"276","ISCGEM858772","6.5","MW"
"277","ISCGEM858793","6.2","MW"
"278","ISCGEM858819","6.2","MW"
"279","ISCGEM858845","5.7","MW"
"280","ISCGEM858938","5.8","MW"
"281","ISCGEM858940","7.4","MW"
"282","ISCGEM858966","6.4","MW"
"283","ISCGEM858978","5.9","MW"
"284","ISCGEM858982","7.6","MW"
"285","ISCGEM859094","6.8","MW"
"286","ISCGEMSUP857323","5.9","MW"
"287","ISCGEM857413","5.8","MW"
"288","ISCGEM857447","5.7","MW"
"289","ISCGEM857450","5.6","MW"
"290","ISCGEM857472","6.1","MW"
"291","ISCGEM857484","5.7","MW"
"292","ISCGEM857506","5.7","MW"
"293","ISCGEM857510","6.2","MW"
"294","ISCGEM857580","6.1","MW"
"295","ISCGEM857602","6","MW"
"296","ISCGEM857618","6.2","MW"
"297","ISCGEM857639","5.7","MW"
"298","ISCGEM857647","6.5","MW"
"299","ISCGEM857648","6.3","MW"
"300","ISCGEM857649","5.9","MW"
"301","ISCGEM857677","5.7","MW"
"302","ISCGEM857712","5.6","MW"
"303","ISCGEM857769","5.6","MW"
"304","ISCGEM857809","6","MW"
"305","ISCGEM857833","5.9","MW"
"306","ISCGEM857835","6.1","MW"
"307","ISCGEM857837","6.1","MW"
"308","ISCGEM857881","6","MW"
"309","ISCGEM857999","5.8","MW"
"310","ISCGEM858003","6","MW"
"311","ISCGEM858039","5.7","MW"
"312","ISCGEM858049","5.6","MW"
"313","ISCGEM858053","6.1","MW"
"314","ISCGEM858070","6","MW"
